Mobility ratio	Flow rate	Peclet number	Breakthough time (PV), Image	Breakthough time (PV), Volumetric	Recovery at breakthrough time (PV), Volumetric	Recovery at 1PVI, Volumetric	Error in volumetric recovery and breakthrough (PV)
2	1.0	140000	0.4476	0.4840	0.4080	0.7056	0.0760
5	1.0	140000	NaN	0.3962	0.3438	0.6099	0.0524
5	1.0	140000	0.3412	0.3742	0.3776	0.6988	0.0034
10	1.0	140000	0.3082	0.3520	0.3314	0.6063	0.0206
10	1.0	140000	0.2862	0.3302	0.2630	0.5521	0.0672
20	1.0	140000	0.2862	0.2861	0.2598	0.5492	0.0263
20	1.0	140000	0.2642	0.2861	0.2350	0.5434	0.0511
20	1.0	140000	0.2458	0.2861	0.2475	0.5966	0.0386
20	0.1	14000	0.2554	0.2640	0.1817	0.4189	0.0823
20	0.5	70000	0.2642	0.2422	0.2037	0.6066	0.0385
20	5.0	700000	0.2678	0.3080	0.2391	0.5533	0.0689
20	10.0	1400000	0.2715	0.3960	0.5133	0.7764	0.1173
